,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var5(t)
156,0.073213,0.01545772,0.0,0.0,0.006701415,0.0
157,0.07351897,0.019446807,0.0,0.0,0.0,0.0022338051
158,0.0737597,0.01528173,0.0,0.0,0.0022338051,0.008935221
159,0.07398412,0.0142404605,0.0,0.0,0.008935221,0.006701415
160,0.07425999,0.017525591,0.0,0.0,0.006701415,0.013402829
161,0.074523225,0.016718974,0.0,0.0,0.013402829,0.005956813
162,0.074877426,0.022526618,0.0,0.0,0.005956813,0.0052122115
163,0.07517535,0.018933505,0.0,0.0,0.0052122115,0.00446761
164,0.075430326,0.016191008,0.0,0.0,0.00446761,0.0014892034
165,0.07583276,0.02560643,0.0,0.0,0.0014892034,0.005956813
166,0.07615779,0.020664066,0.0,0.0,0.005956813,0.00446761
167,0.07646376,0.019446807,0.0,0.0,0.00446761,0.010424422
168,0.07681153,0.022115977,0.0,0.0,0.010424422,0.011169024
169,0.07722017,0.026002405,0.0,0.0,0.011169024,0.008190619
170,0.07767452,0.028920893,0.0,0.0,0.008190619,0.014147431
171,0.07809419,0.026706362,0.0,0.0,0.014147431,0.0119136255
172,0.078780316,0.04371865,0.0,0.0,0.0119136255,0.0119136255
173,0.079458624,0.043220017,0.0,0.0,0.0119136255,0.0119136255
174,0.08002852,0.036297776,0.0,0.0,0.0119136255,0.01787044
175,0.080644354,0.039230928,0.0,0.0,0.01787044,0.01787044
176,0.08131761,0.04289737,0.0,0.0,0.01787044,0.01861504
177,0.08213168,0.051887486,0.0,0.0,0.01861504,0.010424422
178,0.08293656,0.051300853,0.0,0.0,0.010424422,0.014892032
179,0.08370331,0.048866335,0.0,0.0,0.014892032,0.01787044
180,0.08430628,0.038409647,0.0,0.0,0.01787044,0.036485482
181,0.0850218,0.04559587,0.0,0.0,0.036485482,0.015636634
182,0.08594222,0.058677737,0.0,0.0,0.015636634,0.024571855
183,0.08672551,0.049922273,0.0,0.0,0.024571855,0.02755026
184,0.087719895,0.06340012,0.0,0.0,0.02755026,0.023827253
185,0.08873725,0.06486669,0.0,0.0,0.023827253,0.019359643
186,0.08963286,0.057093833,0.0,0.0,0.019359643,0.026061056
187,0.0906385,0.064118735,0.0,0.0,0.026061056,0.033507075
188,0.09177232,0.07230224,0.0,0.0,0.033507075,0.037974685
189,0.09319349,0.09064911,0.0,0.0,0.037974685,0.043186896
190,0.09471963,0.09735137,0.0,0.0,0.043186896,0.036485482
191,0.09629953,0.10078316,0.0,0.0,0.036485482,0.036485482
192,0.09768923,0.0886399,0.0,0.0,0.036485482,0.028294863
193,0.09899854,0.08350688,0.0,0.0,0.028294863,0.037974685
194,0.09993022,0.05939636,0.0,0.0,0.037974685,0.05361132
195,0.101573974,0.10486024,0.0,0.0,0.05361132,0.03871929
196,0.103208765,0.10428828,0.0,0.0,0.03871929,0.03871929
197,0.10480038,0.10153111,0.0,0.0,0.03871929,0.052122116
198,0.10640692,0.10248439,0.0,0.0,0.052122116,0.052122116
199,0.10936665,0.18888043,0.0,0.0,0.052122116,0.055845127
200,0.11464177,0.33671135,0.0,0.0,0.055845127,0.06999256
201,0.11753672,0.18474467,0.0,0.0,0.06999256,0.06999256
202,0.12088051,0.21340159,0.0,0.0,0.06999256,0.07148176
203,0.12413608,0.20776993,0.0,0.0,0.07148176,0.07743857
204,0.12816738,0.2572962,0.0,0.0,0.07743857,0.083395384
205,0.13135749,0.20359018,0.0,0.0,0.083395384,0.067758754
206,0.13484325,0.22246504,0.0,0.0,0.067758754,0.08041698
207,0.13780227,0.18883643,0.0,0.0,0.08041698,0.0886076
208,0.14102064,0.20539407,0.0,0.0,0.0886076,0.115413256
209,0.14498302,0.2528965,0.0,0.0,0.115413256,0.0893522
210,0.14951989,0.28957558,0.0,0.0,0.0893522,0.11615786
211,0.15388332,0.2785029,0.0,0.0,0.11615786,0.110201046
212,0.15747978,0.22953393,0.0,0.0,0.110201046,0.10722264
213,0.16119775,0.23729213,0.0,0.0,0.10722264,0.10201043
214,0.16510132,0.24914207,0.0,0.0,0.10201043,0.14370811
215,0.16942663,0.2760684,0.0,0.0,0.14370811,0.14817572
216,0.17433424,0.31324613,0.0,0.0,0.14817572,0.14370811
217,0.18046892,0.39159065,0.0,0.0,0.14370811,0.15711094
218,0.18535171,0.31166223,0.0,0.0,0.15711094,0.19508563
219,0.19007418,0.30142552,0.0,0.0,0.19508563,0.16008934
220,0.19536492,0.33770862,0.0,0.0,0.16008934,0.1861504
221,0.19991235,0.29025018,0.0,0.0,0.1861504,0.19508563
222,0.20471315,0.30642653,0.0,0.0,0.19508563,0.21221146
223,0.20997886,0.33611006,0.0,0.0,0.21221146,0.21444526
224,0.21565574,0.3623618,0.0,0.0,0.21444526,0.23529412
225,0.22095682,0.33836856,0.0,0.0,0.23529412,0.23454951
226,0.22656572,0.3580207,0.0,0.0,0.23454951,0.24274014
227,0.23160057,0.32137096,0.0,0.0,0.24274014,0.183172
228,0.23694369,0.3410524,0.0,0.0,0.183172,0.20848846
229,0.24130046,0.2780776,0.0,0.0,0.20848846,0.17721519
230,0.24591245,0.29437128,0.0,0.0,0.17721519,0.21518987
231,0.25170234,0.36957732,0.0,0.0,0.21518987,0.22859271
232,0.25725287,0.3542956,0.0,0.0,0.22859271,0.23678333
